"continent","doi","farm_type","host","antimicrobial_compound","pathogen","percent_resistant","no_isolates"
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","CIP","Salmonella",20,71
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","CTF","Salmonella",0,71
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","GEN","Salmonella",35,71
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","NAL","Salmonella",34,71
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","AMC","E.coli",26,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","AMP","E.coli",33,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","CIP","E.coli",0,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","CRO","E.coli",6,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","CTF","E.coli",6,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","GEN","E.coli",3,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","KAN","E.coli",12,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","STR","E.coli",16,73
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","AMC","E.coli",20,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","AMP","E.coli",44,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","CIP","E.coli",0,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","CRO","E.coli",4,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","CTF","E.coli",18,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","GEN","E.coli",0,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","KAN","E.coli",8,77
"North America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","STR","E.coli",20,77
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","CIP","Campylobacter",40,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","ERY","Campylobacter",0,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","GEN","Campylobacter",0,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","NAL","Campylobacter",40,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","STR","Campylobacter",47,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","CIP","Campylobacter",30,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","ERY","Campylobacter",0,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","GEN","Campylobacter",0,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","NAL","Campylobacter",30,82
"Europe","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","STR","Campylobacter",64,82
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","AMP","E.coli",45,87
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","CIP","E.coli",11,87
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","GEN","E.coli",1,87
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","CIP","S.aureus",7,91
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","CLIN","S.aureus",15,91
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","ERY","S.aureus",15,91
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","GEN","S.aureus",10,91
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","RMP","S.aureus",2,91
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","CIP","S.aureus",12,91
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","CLIN","S.aureus",84,91
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","ERY","S.aureus",16,91
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","GEN","S.aureus",0,91
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","CIP","S.aureus",16,92
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","CLIN","S.aureus",27,92
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","ERY","S.aureus",22,92
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","GEN","S.aureus",3,92
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","RMP","S.aureus",8,92
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","AMP","S.aureus",37,93
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","CIP","S.aureus",10,93
"Europe","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","GEN","S.aureus",4,93
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","AMP","E.coli",20,94
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","AZT","E.coli",0,94
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","CIP","E.coli",1,94
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","FOS","E.coli",4,94
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","GEN","E.coli",0,94
"Europe","doi.org/10.1080/11358120902907014","Organic","Cattle","STR","E.coli",20,94
"Asia","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","AMC","Listeria",9,96
"Asia","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","AMP","Listeria",27,96
"Asia","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","ERY","Listeria",4,96
"Asia","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","MER","Listeria",24,96
"Asia","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","VAN","Listeria",7,96
"Europe","doi: 10.17221/8721-VETMED","Conventional","Chicken","AMC","E.coli",56,97
"Europe","doi: 10.17221/8721-VETMED","Conventional","Chicken","AMP","E.coli",71,97
"Europe","doi: 10.17221/8721-VETMED","Conventional","Chicken","CIP","E.coli",56,97
"Europe","doi: 10.17221/8721-VETMED","Conventional","Chicken","ENR","E.coli",67,97
"Europe","doi: 10.17221/8721-VETMED","Conventional","Chicken","GEN","E.coli",40,97
"Europe","doi: 10.17221/8721-VETMED","Organic","Chicken","AMC","E.coli",25,97
"Europe","doi: 10.17221/8721-VETMED","Organic","Chicken","AMP","E.coli",60,97
"Europe","doi: 10.17221/8721-VETMED","Organic","Chicken","CIP","E.coli",10,97
"Europe","doi: 10.17221/8721-VETMED","Organic","Chicken","ENR","E.coli",20,97
"Europe","doi: 10.17221/8721-VETMED","Organic","Chicken","GEN","E.coli",30,97
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","AMC","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","AMP","Salmonella",45,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","CIP","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","CST","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","CTF","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","GEN","Salmonella",36,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","NAL","Salmonella",18,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","NEO","Salmonella",13,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","STR","Salmonella",28,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","AMC","S.aureus",38,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","AMP","S.aureus",75,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","CEQ","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","CFP","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","CLOXA","S.aureus",12,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","CTF","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","ENR","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","ERY","S.aureus",12,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","GEN","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","KAN","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","SPM","S.aureus",12,100
"Europe","www.researchgate.net/publication/288728634","Conventional","Cattle","TYL","S.aureus",12,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","AMC","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","AMP","Salmonella",21,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","CIP","Salmonella",0,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","CST","Salmonella",1,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","CTF","Salmonella",8,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","GEN","Salmonella",8,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","NAL","Salmonella",21,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","NEO","Salmonella",20,100
"Asia","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","STR","Salmonella",29,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","AMC","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","AMP","S.aureus",20,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","CEQ","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","CFP","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","CLOXA","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","CTF","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","ENR","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","ERY","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","GEN","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","KAN","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","SPM","S.aureus",0,100
"Europe","www.researchgate.net/publication/288728634","Organic","Cattle","TYL","S.aureus",0,100
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","CIP","S.aureus",18,101
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","CLIN","S.aureus",67,101
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","ERY","S.aureus",21,101
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","GEN","S.aureus",0,101
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","AMP","E.coli",39,105
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","AZT","E.coli",1,105
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","CIP","E.coli",5,105
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","FOS","E.coli",2,105
"Europe","doi.org/10.1080/11358120902907014","Conventional","Cattle","GEN","E.coli",4,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","AMC","E.coli",98,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","CST","E.coli",0,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","ENR","E.coli",1,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","GEN","E.coli",7,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","KAN","E.coli",13,105
"Asia","doi.org/10.5713/ab.21.0232","Organic","Pigs","NEO","E.coli",15,105
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","AMP","E.coli",22,105
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","CIP","E.coli",10,105
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","FOS","E.coli",3,105
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","GEN","E.coli",1,105
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","STR","E.coli",24,105
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","AMC","S.aureus",3,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","CIP","S.aureus",7,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","CLIN","S.aureus",33,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","ERY","S.aureus",67,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","GEN","S.aureus",0,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","LVX","S.aureus",7,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","LZD","S.aureus",0,108
"North America","doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs","RMP","S.aureus",0,108
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","CIP","S.aureus",14,108
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","AMC","E.coli",98,110
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","CST","E.coli",2,110
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","ENR","E.coli",0,110
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","GEN","E.coli",24,110
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","KAN","E.coli",15,110
"Asia","doi.org/10.5713/ab.21.0232","Conventional","Pigs","NEO","E.coli",30,110
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","CIP","Enterococcus",7,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","DAP","Enterococcus",0,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","ERY","Enterococcus",32,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","GEN","Enterococcus",28,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","KAN","Enterococcus",14,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","LZD","Enterococcus",12,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","STR","Enterococcus",11,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","TGC","Enterococcus",2,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","TYL","Enterococcus",38,113
"North America","DOI: 10.1089/fpd.2011.0852","Conventional","Chicken","VAN","Enterococcus",1,113
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","AMP","E.coli",54,115
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","CIP","E.coli",28,115
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","FOS","E.coli",0,115
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","GEN","E.coli",10,115
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","STR","E.coli",46,115
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","AMP","E.coli",84,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","AZI","E.coli",7,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","CAZI","E.coli",31,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","CIP","E.coli",59,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","CST","E.coli",0,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","CTX","E.coli",52,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","GEN","E.coli",12,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","MER","E.coli",0,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","NAL","E.coli",57,116
"Europe","doi.org/10.3390/antibiotics10111321","Conventional","Chicken","TGC","E.coli",10,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","AMP","E.coli",71,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","AZI","E.coli",10,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","CAZI","E.coli",10,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","CIP","E.coli",41,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","CST","E.coli",0,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","CTX","E.coli",36,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","GEN","E.coli",22,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","MER","E.coli",0,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","NAL","E.coli",59,116
"Europe","doi.org/10.3390/antibiotics10111321","Organic","Chicken","TGC","E.coli",21,116
"North America","DOI: 10.1089/107662903322541883","Conventional","Cattle","AMP","S.aureus",38,117
"North America","DOI: 10.1089/107662903322541883","Conventional","Cattle","ERY","S.aureus",0,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","AMC","S.aureus",0,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","CLIN","S.aureus",14,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","ERY","S.aureus",14,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","GEN","S.aureus",0,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","LVX","S.aureus",10,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","LZD","S.aureus",0,117
"North America","doi.org/10.1016/j.envres.2021.110954","Organic","Pigs","RMP","S.aureus",0,117
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken","AMP","Enterococcus",33,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken","CIP","Enterococcus",23,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken","ERY","Enterococcus",15,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken","GEN","Enterococcus",12,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken","VAN","Enterococcus",12,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Conventional","Chicken","CTF","E.coli",0,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Conventional","Chicken","ERY","E.coli",87,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Conventional","Chicken","GEN","E.coli",36,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Conventional","Chicken","NEO","E.coli",28,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken","AMP","Enterococcus",18,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken","CIP","Enterococcus",5,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken","ERY","Enterococcus",2,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken","GEN","Enterococcus",5,120
"Europe","DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken","VAN","Enterococcus",0,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Organic","Chicken","CTF","E.coli",0,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Organic","Chicken","ERY","E.coli",89,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Organic","Chicken","GEN","E.coli",34,120
"North America","https://doi.org/10.1016/j.japr.2021.100158","Organic","Chicken","NEO","E.coli",2,120
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","CIP","Campylobacter",22,123
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","ERY","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","GEN","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","NAL","Campylobacter",22,123
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","STR","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","CIP","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","ERY","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","GEN","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","NAL","Campylobacter",0,123
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","STR","Campylobacter",0,123
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","AMP","E.coli",62,125
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","CIP","E.coli",12,125
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","CTX","E.coli",0,125
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","GEN","E.coli",6,125
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","NAL","E.coli",10,125
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","STR","E.coli",62,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","AMP","E.coli",10,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","CIP","E.coli",1,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","CTX","E.coli",0,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","GEN","E.coli",1,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","NAL","E.coli",1,125
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","STR","E.coli",10,125
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","AMC","Salmonella",14,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","AMK","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","AMP","Salmonella",34,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","CIP","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","CRO","Salmonella",15,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","CTF","Salmonella",14,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","GEN","Salmonella",6,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","NAL","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken","STR","Salmonella",2,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","AMC","Salmonella",6,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","AMK","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","AMP","Salmonella",17,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","CIP","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","CRO","Salmonella",4,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","CTF","Salmonella",2,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","GEN","Salmonella",0,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","NAL","Salmonella",1,126
"North America","DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken","STR","Salmonella",1,126
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","AMC","E.coli",42,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","AMP","E.coli",90,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","CAZI","E.coli",18,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","CIP","E.coli",44,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","CTX","E.coli",44,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","GEN","E.coli",17,135
"Europe","doi: 10.3390/ani10071215","Conventional","Chicken","NAL","E.coli",58,135
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","AMP","Salmonella",42,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","CAZI","Salmonella",7,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","CEP","Salmonella",5,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","CIP","Salmonella",16,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","CST","Salmonella",2,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","CTX","Salmonella",8,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","GEN","Salmonella",6,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","MER","Salmonella",18,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","NAL","Salmonella",4,140
"Asia","DOI: 10.1111/jfs.12588","Organic","Chicken","STR","Salmonella",9,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","AMC","E.coli",31,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","AMP","E.coli",72,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","CAZI","E.coli",6,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","CIP","E.coli",24,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","CTX","E.coli",24,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","GEN","E.coli",7,140
"Europe","doi: 10.3390/ani10071215","Organic","Chicken","NAL","E.coli",39,141
"North America","DOI: 10.1089/107662903322541883","Organic","Cattle","AMP","S.aureus",19,144
"North America","DOI: 10.1089/107662903322541883","Organic","Cattle","ERY","S.aureus",0,144
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","AMC","Salmonella",37,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","AMP","Salmonella",89,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","CAZI","Salmonella",82,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","CST","Salmonella",0,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","ERY","Salmonella",100,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","GEN","Salmonella",32,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","GFX","Salmonella",26,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","OFX","Salmonella",22,155
"Asia","doi: 10.3389/fvets.2021.607491","Conventional","Chicken","STR","Salmonella",68,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","AMC","Salmonella",10,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","AMP","Salmonella",10,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","CAZI","Salmonella",7,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","CST","Salmonella",0,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","ERY","Salmonella",97,155
"Asia","doi: 10.3389/fvets.2021.607491","Organic","Chicken","GEN","Salmonella",0,155
