"country","doi","farm_type","host","antimicrobial_class","pathogen","percent_resistant","no_isolates"
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Aminoglycoside","S.aureus",11,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Aminopenicillin - betalactamase inhibitors","S.aureus",0,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Amphenicol","S.aureus",20,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Glycopeptides","S.aureus",0,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Macrolide","S.aureus",6,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Penicillin","S.aureus",10,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Quinolones","S.aureus",6,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Streptogramins","S.aureus",2,46
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","Tetracycline","S.aureus",2,46
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","3rd_gen cephalosporin","E.coli",0,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Amino-penicillin","E.coli",25,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Aminoglycoside","E.coli",25,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Amphenicol","E.coli",0,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Quinolones","E.coli",0,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Sulfonamide","E.coli",16,52
"Denmark","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","Tetracycline","E.coli",42,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Aminoglycoside","Enterococcus",6,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Ansamycin","Enterococcus",46,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Glycopeptides","Enterococcus",0,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Glycylcyclines","Enterococcus",0,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Macrolide","Enterococcus",44,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Nitrofuran derivatives","Enterococcus",10,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Oxazolidinones","Enterococcus",4,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Quinolones","Enterococcus",31,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Streptogramins","Enterococcus",33,52
"South Korea","DOI: 10.3382/ps/pex275","Conventional","Chicken","Tetracycline","Enterococcus",67,52
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Conventional","Chicken","Aminoglycoside","Salmonella",59,52
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Conventional","Chicken","Amphenicol","Salmonella",0,52
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Conventional","Chicken","Tetracycline","Salmonella",59,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","3rd_gen cephalosporin","E.coli",0,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Amino-penicillin","E.coli",4,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Aminoglycoside","E.coli",7,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Amphenicol","E.coli",4,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Quinolones","E.coli",0,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Sulfonamide","E.coli",6,52
"Denmark","doi: 10.1371/journal.pone.0157049","Organic","Pigs","Tetracycline","E.coli",14,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Aminoglycoside","Enterococcus",2,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Ansamycin","Enterococcus",40,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Glycopeptides","Enterococcus",0,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Glycylcyclines","Enterococcus",0,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Macrolide","Enterococcus",17,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Nitrofuran derivatives","Enterococcus",2,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Oxazolidinones","Enterococcus",0,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Quinolones","Enterococcus",9,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Streptogramins","Enterococcus",35,52
"South Korea","DOI: 10.3382/ps/pex275","Organic","Chicken","Tetracycline","Enterococcus",77,52
"Canada","PMID: 22468028","Organic","Chicken","Amino-penicillin","Campylobacter",0,54
"Canada","PMID: 22468028","Organic","Chicken","Aminoglycoside","Campylobacter",0,54
"Canada","PMID: 22468028","Organic","Chicken","Amphenicol","Campylobacter",0,54
"Canada","PMID: 22468028","Organic","Chicken","Macrolide","Campylobacter",5,54
"Canada","PMID: 22468028","Organic","Chicken","Quinolones","Campylobacter",0,54
"Canada","PMID: 22468028","Organic","Chicken","Tetracycline","Campylobacter",44,54
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Aminoglycoside","Campylobacter",0,55
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Amphenicol","Campylobacter",0,55
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Macrolide","Campylobacter",0,55
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Quinolones","Campylobacter",74,55
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Tetracycline","Campylobacter",44,55
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","1st_gen cephalosporin","Salmonella",57,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","2nd_gen cephalosporin","Salmonella",55,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",32,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Amino-penicillin","Salmonella",57,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Aminoglycoside","Salmonella",24,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",55,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Amphenicol","Salmonella",0,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Quinolones","Salmonella",0,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Sulfonamide","Salmonella",8,58
"United States of America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","Tetracycline","Salmonella",7,58
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","3rd_gen cephalosporin","E.coli",0,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Amino-penicillin","E.coli",100,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Aminoglycoside","E.coli",40,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","E.coli",73,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Amphenicol","E.coli",20,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Nitrofuran derivatives","E.coli",27,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Penicillin","E.coli",13,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Phosphonic acid derivatives","E.coli",0,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Quinolones","E.coli",86,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Sulfonamide","E.coli",33,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","Tetracycline","E.coli",40,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","3rd_gen cephalosporin","E.coli",27,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Amino-penicillin","E.coli",53,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Aminoglycoside","E.coli",0,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","E.coli",20,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Amphenicol","E.coli",7,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Nitrofuran derivatives","E.coli",13,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Penicillin","E.coli",13,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Phosphonic acid derivatives","E.coli",0,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Quinolones","E.coli",34,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Sulfonamide","E.coli",7,60
"Spain","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","Tetracycline","E.coli",47,60
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Aminoglycoside","Enterococcus",6,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Amphenicol","Enterococcus",0,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Glycylcyclines","Enterococcus",21,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Lincosamides","Enterococcus",100,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Macrolide","Enterococcus",17,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Nitrofuran derivatives","Enterococcus",5,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Penicillin","Enterococcus",0,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Phosphoglycolipids","Enterococcus",2,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Quinolones","Enterococcus",6,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Streptogramins","Enterococcus",60,63
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Tetracycline","Enterococcus",100,63
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","3rd_gen cephalosporin","Salmonella",0,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Amino-penicillin","Salmonella",25,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Aminocyclitols","Salmonella",34,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Aminoglycoside","Salmonella",35,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Aminopenicillin - betalactamase inhibitors","Salmonella",21,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Amphenicol","Salmonella",16,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Quinolones","Salmonella",27,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Sulfonamide","Salmonella",89,71
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","Tetracycline","Salmonella",47,71
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","3rd_gen cephalosporin","E.coli",6,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Amino-penicillin","E.coli",33,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Aminoglycoside","E.coli",10,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Aminopenicillin - betalactamase inhibitors","E.coli",26,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Amphenicol","E.coli",12,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Quinolones","E.coli",0,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Sulfonamide","E.coli",1,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle","Tetracycline","E.coli",19,73
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","3rd_gen cephalosporin","E.coli",11,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Amino-penicillin","E.coli",44,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Aminoglycoside","E.coli",9,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Aminopenicillin - betalactamase inhibitors","E.coli",20,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Amphenicol","E.coli",30,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Quinolones","E.coli",0,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Sulfonamide","E.coli",3,77
"United States of America","DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle","Tetracycline","E.coli",18,77
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","Aminoglycoside","Campylobacter",24,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","Macrolide","Campylobacter",0,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","Quinolones","Campylobacter",40,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs","Tetracycline","Campylobacter",5,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","Aminoglycoside","Campylobacter",32,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","Macrolide","Campylobacter",0,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","Quinolones","Campylobacter",30,82
"Sweden","https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs","Tetracycline","Campylobacter",0,82
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","Amino-penicillin","E.coli",45,87
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","Aminoglycoside","E.coli",1,87
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","Quinolones","E.coli",11,87
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","Sulfonamide","E.coli",62,87
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle","Tetracycline","E.coli",23,87
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Aminoglycoside","S.aureus",10,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Amphenicol","S.aureus",3,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Ansamycin","S.aureus",2,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Macrolide","S.aureus",15,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Nitrofuran derivatives","S.aureus",4,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Penicillin","S.aureus",30,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Quinolones","S.aureus",7,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Sulfonamide","S.aureus",36,91
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Tetracycline","S.aureus",11,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Aminoglycoside","S.aureus",0,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Amphenicol","S.aureus",1,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Macrolide","S.aureus",50,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Nitrofuran derivatives","S.aureus",15,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Penicillin","S.aureus",62,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Quinolones","S.aureus",12,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Sulfonamide","S.aureus",25,91
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Tetracycline","S.aureus",34,91
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Aminoglycoside","S.aureus",3,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Amphenicol","S.aureus",2,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Ansamycin","S.aureus",8,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Macrolide","S.aureus",24,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Nitrofuran derivatives","S.aureus",9,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Penicillin","S.aureus",47,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Quinolones","S.aureus",16,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Sulfonamide","S.aureus",36,92
"Spain","doi.org/10.1080/11358120902907014","Conventional","Cattle","Tetracycline","S.aureus",9,92
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","Amino-penicillin","S.aureus",37,93
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","Aminoglycoside","S.aureus",4,93
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","Quinolones","S.aureus",10,93
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","Sulfonamide","S.aureus",42,93
"Spain","DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle","Tetracycline","S.aureus",11,93
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","1st_gen cephalosporin","E.coli",21,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Amino-penicillin","E.coli",20,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Aminoglycoside","E.coli",10,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Amphenicol","E.coli",0,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Monobactams","E.coli",0,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Nitrofuran derivatives","E.coli",6,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Phosphonic acid derivatives","E.coli",4,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Quinolones","E.coli",1,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Sulfonamide","E.coli",21,94
"Spain","doi.org/10.1080/11358120902907014","Organic","Cattle","Tetracycline","E.coli",12,94
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Amino-penicillin","Listeria",27,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Listeria",9,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Amphenicol","Listeria",3,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Carbapenem","Listeria",24,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Glycopeptides","Listeria",7,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Macrolide","Listeria",4,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Penicillin","Listeria",12,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Sulfonamide","Listeria",14,96
"Turkey","DOI: 10.9775/kvfd.2019.23638","Organic","Chicken","Tetracycline","Listeria",10,96
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","1st_gen cephalosporin","E.coli",39,97
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","2nd_gen cephalosporin","E.coli",38,97
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","Amino-penicillin","E.coli",71,97
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","Aminoglycoside","E.coli",40,97
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","E.coli",56,97
"Poland","doi: 10.17221/8721-VETMED","Conventional","Chicken","Quinolones","E.coli",62,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","1st_gen cephalosporin","E.coli",25,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","2nd_gen cephalosporin","E.coli",35,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","Amino-penicillin","E.coli",60,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","Aminoglycoside","E.coli",30,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","E.coli",25,97
"Poland","doi: 10.17221/8721-VETMED","Organic","Chicken","Quinolones","E.coli",15,97
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","1st_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","3rd_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","4th_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Amino-penicillin","S.aureus",75,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Aminocoumarin","S.aureus",12,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Aminoglycoside","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Aminopenicillin - betalactamase inhibitors","S.aureus",38,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Amphenicol","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Lincosamides","S.aureus",12,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Macrolide","S.aureus",12,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Penicillin","S.aureus",50,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Quinolones","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Sulfonamide","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Conventional","Cattle","Tetracycline","S.aureus",6,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","1st_gen cephalosporin","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","2nd_gen cephalosporin","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","3rd_gen cephalosporin","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Amino-penicillin","Salmonella",45,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Aminoglycoside","Salmonella",26,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Aminopenicillin - betalactamase inhibitors","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Amphenicol","Salmonella",20,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Polymyxins","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Quinolones","Salmonella",9,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Sulfonamide","Salmonella",9,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs","Tetracycline","Salmonella",46,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","1st_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","3rd_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","4th_gen cephalosporin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Amino-penicillin","S.aureus",20,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Aminocoumarin","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Aminoglycoside","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Aminopenicillin - betalactamase inhibitors","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Amphenicol","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Lincosamides","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Macrolide","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Penicillin","S.aureus",10,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Quinolones","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Sulfonamide","S.aureus",0,100
"Belgium","www.researchgate.net/publication/288728634","Organic","Cattle","Tetracycline","S.aureus",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","1st_gen cephalosporin","Salmonella",8,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","2nd_gen cephalosporin","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","3rd_gen cephalosporin","Salmonella",8,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Amino-penicillin","Salmonella",21,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Aminoglycoside","Salmonella",19,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Aminopenicillin - betalactamase inhibitors","Salmonella",0,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Amphenicol","Salmonella",12,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Polymyxins","Salmonella",1,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Quinolones","Salmonella",10,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Sulfonamide","Salmonella",4,100
"South Korea","DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs","Tetracycline","Salmonella",29,100
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Aminoglycoside","S.aureus",0,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Amphenicol","S.aureus",2,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Macrolide","S.aureus",44,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Nitrofuran derivatives","S.aureus",29,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Penicillin","S.aureus",70,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Quinolones","S.aureus",18,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Sulfonamide","S.aureus",25,101
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Tetracycline","S.aureus",58,101
